Q,I(Q),Error
8.66803757E-02,1.11931982E-01,4.08387783E-03
8.69659782E-02,1.04572666E-01,4.06621064E-03
8.72515808E-02,1.13561351E-01,4.08733073E-03
8.75371833E-02,1.08695081E-01,4.10061308E-03
8.78227859E-02,1.03595443E-01,4.03760191E-03
8.81083884E-02,1.01395088E-01,4.05860079E-03
8.83939910E-02,1.13766622E-01,4.03962901E-03
8.86795935E-02,1.09837131E-01,4.07450070E-03
8.89651961E-02,1.10282399E-01,4.06209416E-03
8.92507987E-02,1.03448757E-01,4.00292874E-03
8.95364012E-02,9.70568370E-02,4.04830824E-03
8.98220038E-02,1.09070640E-01,4.01190131E-03
9.01076063E-02,9.70721515E-02,4.03566166E-03
9.03932089E-02,9.68319387E-02,3.99426286E-03
9.06788114E-02,1.01720313E-01,4.00081762E-03
9.09644140E-02,9.11189075E-02,4.02828833E-03
9.12500165E-02,1.01011364E-01,4.01242247E-03
9.15356191E-02,9.71318785E-02,3.97850430E-03
9.18212217E-02,1.00052736E-01,3.95802527E-03
9.21068242E-02,8.57203256E-02,3.99421015E-03
9.23924268E-02,9.83417043E-02,4.00378328E-03
9.26780293E-02,9.23828514E-02,3.96997134E-03
9.29636319E-02,1.01218665E-01,3.95448597E-03
9.32492344E-02,1.04264072E-01,3.95518354E-03
9.35348370E-02,8.81508025E-02,3.97244093E-03
9.38204395E-02,9.11338865E-02,3.94002511E-03
9.41060421E-02,8.89521503E-02,3.93024119E-03
9.43916447E-02,8.94295440E-02,3.94117728E-03
9.46772472E-02,1.00282177E-01,3.94493696E-03
9.49628498E-02,9.61940940E-02,3.95778543E-03
9.52484523E-02,9.21212442E-02,3.89556806E-03
9.55340549E-02,8.17450436E-02,3.92866375E-03
9.58196574E-02,8.33718394E-02,3.91554805E-03
9.61052600E-02,1.01610779E-01,3.94219051E-03
9.63908625E-02,8.09473492E-02,3.88614937E-03
9.66764651E-02,8.11014614E-02,3.89296389E-03
9.69620677E-02,8.26997636E-02,3.90306411E-03
9.72476702E-02,8.72157528E-02,3.89195910E-03
9.75332728E-02,8.35101096E-02,3.87349148E-03
9.78188753E-02,8.35238286E-02,3.90477067E-03
9.81044779E-02,8.98177601E-02,3.87958786E-03
9.83900804E-02,7.44117704E-02,3.92029932E-03
9.86756830E-02,8.52955764E-02,3.83646305E-03
9.89612855E-02,7.66596156E-02,3.84660436E-03
9.92468881E-02,8.37011284E-02,3.86440624E-03
9.95324907E-02,8.61063640E-02,3.86777428E-03
9.98180932E-02,9.07114645E-02,3.87091414E-03
1.00103696E-01,7.85822434E-02,3.83555835E-03
1.00389298E-01,7.96580332E-02,3.82257527E-03
1.00674901E-01,7.21090419E-02,3.84527416E-03
1.00960503E-01,7.27983885E-02,3.83494056E-03
1.01246106E-01,7.67416526E-02,3.82429151E-03
1.01531709E-01,7.18968515E-02,3.80417319E-03
1.01817311E-01,8.01270794E-02,3.83652742E-03
1.02102914E-01,7.67764402E-02,3.83462126E-03
1.02388516E-01,6.70211203E-02,3.78426998E-03
