,date,well,prot,osm,A_after,A_before,D_after,D_before,area,directA_after,directA_before,A_corr_before,A_corr_after,D/A_before,D/A_after,d_directA
263,5/27/2021,B1,WT,150,15753.774,16581.689,2883.183,3028.817,119.99,6324.028,6709.887,13701.53746,13024.12169,0.221056725,0.221372548,-385.859
264,5/27/2021,B1,WT,150,20243.115,21463.598,3650.408,3833.998,728.39,8001.766,8465.587,17823.11753,16788.06322,0.21511377,0.217440687,-463.821
265,5/27/2021,B1,WT,150,12784.738,15095.084,2557.421,2927.486,180.83,5385.458,6389.851,12329.44473,10406.06785,0.237438592,0.245762476,-1004.393
266,5/27/2021,B1,WT,150,16563.639,17934.049,3084.426,3321.525,103.09,6533.574,7055.935,14833.0131,13687.51416,0.223927868,0.225345959,-522.361
267,5/27/2021,B1,WT,150,21100.305,20991.963,3608.538,3568.832,310.96,8318.614,8320.451,17519.59635,17607.2432,0.20370515,0.204946223,-1.837
269,5/27/2021,B1,WT,150,17291.908,19261.943,3153.678,3466.414,147.03,6726.161,7518.149,15996.29527,14342.48807,0.216701051,0.219883606,-791.988
270,5/27/2021,B1,WT,150,13354.091,14489.041,2598.256,2797.893,204.49,5618.149,6136.901,11840.14652,10909.56701,0.236305606,0.238163073,-518.752
271,5/27/2021,B1,WT,150,8354.288,9469.076,2057.712,2295.909,111.54,3472.439,3949.652,7501.81035,6603.93723,0.306047326,0.311588667,-477.213
272,5/27/2021,B1,WT,150,20478.119,23607.061,3584.491,4197.358,471.51,7712.111,8945.854,19682.749,17113.03768,0.213250598,0.209459657,-1233.743
273,5/27/2021,B1,WT,150,22315.732,25202.932,3815.75,4270.164,196.04,8494.121,9586.931,21118.22819,18679.50151,0.202202759,0.204274723,-1092.81
274,5/27/2021,B1,WT,150,12701.65,14576.097,2762.35,3133.874,174.07,5107.757,5848.35,11803.95728,10267.13067,0.265493506,0.269047905,-740.593
275,5/27/2021,B1,WT,150,24682.607,26047.504,3943.904,4187.84,211.25,9674.696,10254.488,21879.59608,20754.14564,0.191403899,0.190029697,-579.792
277,5/27/2021,B1,WT,150,14314.298,16460.572,2645.69,3008.512,141.96,5566.417,6386.69,13652.58954,11854.46307,0.220362005,0.223180922,-820.273
278,5/27/2021,B1,WT,150,10988.484,11805.625,2459.297,2660.875,216.32,4333.477,4680.305,9506.1033,8861.69596,0.279912275,0.277519903,-346.828
279,5/27/2021,B1,WT,150,30530.639,31013.023,4593.418,4862.012,436.02,10436.311,10703.787,26402.43711,26113.22837,0.184150121,0.175903873,-267.476
280,5/27/2021,B1,WT,150,19560.607,22205.088,3192.253,3632.544,133.51,7155.468,8092.797,18742.20825,16509.17399,0.193816222,0.193362369,-937.329
281,5/27/2021,B1,WT,150,21415.932,21432.66,3810.932,3913.456,174.07,7493.854,7564.292,17921.31284,17972.30578,0.218368823,0.21204469,-70.438
282,5/27/2021,B1,WT,150,22066.508,23541.064,4056.17,4337.058,466.44,7625.192,8128.837,19697.94423,18467.95142,0.220178205,0.219632915,-503.645
283,5/27/2021,B1,WT,150,25040.109,27198.033,4452.794,4745.255,1767.74,9013.057,9941.157,22794.22802,20967.64735,0.208177921,0.21236498,-928.1
284,5/27/2021,B1,WT,150,34621.812,35834.266,5503.312,5813.941,1183,11668.377,12229.127,30429.34314,29488.06501,0.191063638,0.186628455,-560.75
285,5/27/2021,B1,WT,150,21196.83,22459.92,3680.522,3937.577,866.97,7845.425,8295.528,18796.85387,17755.52259,0.209480641,0.207288858,-450.103
286,5/27/2021,B1,WT,150,18491.572,20385.174,3598.458,3893.604,542.49,6534.508,7191.025,16955.26913,15342.83274,0.229639764,0.234536742,-656.517
287,5/27/2021,B1,WT,150,33067.047,37413.672,5297.413,5582.848,299.13,10320.621,11644.288,32242.34784,28298.50012,0.173152651,0.18719766,-1323.667
288,5/27/2021,B1,WT,150,14551.914,15828.839,2692.484,2918.452,157.17,5175.441,5665,13205.70944,12141.56369,0.220999259,0.221757598,-489.559
289,5/27/2021,B1,WT,150,33536.578,34917.883,4998.385,5336.233,478.27,11566.699,12001.286,29809.43517,28689.76114,0.179011543,0.174221911,-434.587
290,5/27/2021,B1,WT,150,21412.361,23067.518,3735.283,3929.1,763.88,7383.146,7972.993,19470.22633,18029.86327,0.201800428,0.207172009,-589.847
292,5/27/2021,B1,WT,150,21681.756,23698.936,3226.902,3524.114,207.87,7399.902,8066.951,20298.43489,18565.51656,0.17361506,0.173811593,-667.049
293,5/27/2021,B1,WT,150,18570.754,19162.891,3490.428,3641.241,674.31,6431.594,6643.526,15970.76333,15498.8243,0.227994174,0.225205985,-211.932
295,5/27/2021,B1,WT,150,22811.01,24913.117,3642.726,3822.893,363.35,7745.502,8536.177,21265.11008,19408.71984,0.179773017,0.187685021,-790.675
296,5/27/2021,B2,WT,150,18866.277,19244.186,3770.327,3806.5,273.78,8005,8182.475,15672.07075,15347.05369,0.242884304,0.245671063,-177.475
297,5/27/2021,B2,WT,150,25263.305,25432.939,4844.322,4836.452,194.35,9393.539,9428.122,21078.27626,20911.04193,0.229451969,0.231663349,-34.583
298,5/27/2021,B2,WT,150,29835.137,30235.473,5398.599,5448.173,468.13,11429.509,11621.477,25139.86068,24802.27282,0.216714526,0.217665495,-191.968
299,5/27/2021,B2,WT,150,17810.824,18150.441,3354.735,3459.853,114.92,7050.397,7200.794,14948.56805,14693.23902,0.231450463,0.228318276,-150.397
300,5/27/2021,B2,WT,150,38777.031,39900.688,5798.521,5935.446,204.49,14328.81,14777.868,33947.1067,32981.34097,0.174843943,0.175812166,-449.058
302,5/27/2021,B2,WT,150,25100.561,25273.311,5239.619,5231.845,261.95,9380.916,9472.819,20700.59754,20541.18889,0.25273884,0.255078663,-91.903
