dateImaged,cellline,location,mag,Area,Round,passage,construct,well,trial,ch1,ch2_uncorrected,ch2,ch3,D/A_before,Efret_before,Ef_GS_calculated,Norm_Ef_IDR/Ef_GS,FPorder
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G3,Trial01,4547.299,4427.34,1150.34865,4562.752,3.952974604699193,0.2018988748804078,0.2673352210574209,0.7552273661577947,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G3,Trial01,6752.0,6246.536,1458.2499899999996,6366.979,4.630207472176977,0.177613348165541,0.2673352210574209,0.6643843914879867,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G4,Trial01,9140.989,9660.804,3077.68376,9149.453,2.970087154113586,0.2518836391195732,0.2673352210574209,0.9422014732038286,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G4,Trial01,10157.649,10340.783,3205.8757199999995,9217.649,3.1684475279659314,0.2398974662127911,0.2673352210574209,0.8973657315481955,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G4,Trial01,10157.649,10340.783,3205.8757199999995,9217.649,3.1684475279659314,0.2398974662127911,0.2673352210574209,0.8973657315481955,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G5,Trial01,5447.742,5546.752,1589.7428500000003,5630.031,3.4268070461836007,0.2258964507753079,0.2673352210574209,0.8449932256654936,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G5,Trial01,6482.062,6670.825,1936.06122,6838.268,3.348066648429641,0.2299872750021351,0.2673352210574209,0.8602954526247634,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G5,Trial01,8852.124,9232.31,2703.97974,9666.866,3.2737390258700683,0.2339871466055219,0.2673352210574209,0.8752574602029854,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G5,Trial01,6036.165,6005.443,1518.6356700000003,6777.052,3.9747288432912935,0.2010159812727395,0.2673352210574209,0.7519247949358805,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G5,Trial01,8393.423,8471.382,2387.813879999999,8605.547,3.515107718529555,0.2214786583930431,0.2673352210574209,0.8284679344420229,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G5,Trial01,4341.196,4462.093,1375.8990599999995,4133.474,3.1551704090850974,0.2406640165259032,0.2673352210574209,0.9002331064869712,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G5,Trial01,2531.588,2470.794,653.8781299999997,2500.917,3.8716511286285127,0.2052692143990869,0.2673352210574209,0.7678345321920644,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G6,Trial01,10122.959,9969.124,2746.6821699999987,9775.124,3.6855225226149866,0.2134233685087273,0.2673352210574209,0.7983361401634621,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G6,Trial01,9251.536,9498.124,2843.21759,9218.907,3.2538965827093103,0.2350785874919176,0.2673352210574209,0.8793401279565219,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G7,Trial01,3685.979,3664.804,1031.22912,3578.979,3.574355037607937,0.2186100536094218,0.2673352210574209,0.8177375683784912,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G8,Trial01,6680.186,7291.855,2521.2044599999995,6474.484,2.6496010561555177,0.274002551131821,0.2673352210574209,1.0249399613265624,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G9,Trial01,6570.495,6574.701,1650.6205499999996,7587.99,3.980621106407528,0.200778171765266,0.2673352210574209,0.7510352394686552,O
11/16/2020,U2-OS,nucleus,40X,10.246,1,23.0,Ash1,G9,Trial01,4786.701,4585.402,1164.40593,4652.866,4.110852475648248,0.1956620749209088,0.2673352210574209,0.7318978552357774,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,A1,Trial1,4420.021,4211.443,1061.8959800000005,4247.031,4.162386037095646,0.1937088766346112,0.10850186161949626,1.7853046366515468,O
