,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12,H07,H08,H09,H10,H11,H12,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,N/A,N/A,N/A,N/A,N/A,N/A,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,L-Proline,Glycine,Glycine,Glycine,Glycine,Glycine,Glycine,Taurine,Taurine,Taurine,Taurine,Taurine,Taurine,Tricine,Tricine,Tricine,Tricine,Tricine,Tricine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,Sarcosine,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,BetaineH2O,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,L-Tryptophan,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,D-Galactose,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,Trehalose2H2O,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,D-Mannitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Xylitol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Meso-Erythritol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Myo-Inositol,Urea,Urea,Urea,Urea,Urea,Urea,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl,GuHCl
Protein,Gain,conc,0,0,0,0,0,0,4,8,12,16,20,24,2,4,6,8,10,12,1,2,3,4,5,6,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,0.2,0.4,0.6,0.8,1,1.2,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,4,8,12,16,20,24,4,8,12,16,20,24,2,4,6,8,10,12,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS16,1020,468,31892,32228,33965,34630,32427,31681,35077,34734,36619,35279,34189,36923,35628,31256,30116,30574,30111,26223,0,0,0,0,0,0,35090,36954,36398,41316,38530,39398,30716,31801,28715,26726,22707,19031,31902,32107,39395,32350,32314,32315,28476,26505,27651,27080,28211,27521,13383,16579,18698,14807,17867,18824,14418,15799,12820,15280,15075,15155,15899,16599,17876,16323,16398,16651,16004,16503,18775,16527,16485,17049,15153,15999,15886,15296,15229,15728,18650,18269,19537,19811,17978,17982,21207,21890,24117,20358,21179,21456,19475,25972,25744,26929,27754,25208
GS16,1020,469,33917,34276,36079,36789,34571,33673,37249,36868,38860,37566,36441,39282,37673,33138,31956,32390,32025,27852,0,0,0,0,0,0,37356,39233,38753,44047,41045,41824,32717,33930,30463,28388,24158,20134,33810,34176,41863,34472,34463,34451,30260,28152,29463,28787,29965,29265,14194,17672,19849,15731,18985,20018,15382,16886,13669,16292,16078,16174,16932,17668,19055,17290,17382,17709,17027,17534,20019,17553,17518,18170,16149,17027,16912,16271,16189,16785,19842,19462,20892,21096,19160,19206,22564,23342,25681,21669,22549,22806,20820,27591,27459,28832,29598,26930
GS16,1020,470,35590,35986,37803,38594,36280,35438,39044,38821,40874,39532,38243,41201,39626,34914,33583,34104,33705,29344,0,0,0,0,0,0,39068,41217,40664,46203,43008,43892,34337,35537,31999,29890,25319,21187,35391,35729,43838,36077,36021,36173,31673,29509,30890,30145,31322,30557,14865,18491,20858,16493,19892,20958,16133,17690,14269,17093,16871,16961,17691,18490,19980,18187,18257,18602,17786,18342,20972,18407,18329,19005,16915,17811,17733,17048,16946,17576,20743,20387,21759,22058,20029,20060,23417,24140,26663,22487,23398,23518,21556,28693,28531,29995,30763,27998
GS16,1020,471,36488,36868,38701,39387,37063,36205,40033,39687,41779,40490,39092,42242,40696,35784,34395,34981,34471,30078,0,0,0,0,0,0,40122,42271,41663,47340,44184,45056,35144,36432,32830,30652,25979,21746,36293,36554,44829,36929,36941,36885,32439,30159,31609,30783,32165,31317,15210,18967,21257,16874,20372,21451,16557,18083,14616,17484,17242,17302,18126,18885,20431,18550,18686,18941,18231,18793,21448,18743,18749,19423,17283,18212,18103,17402,17311,17996,21294,20935,22352,22632,20549,20587,24093,24732,27380,22975,24072,24293,22173,29590,29415,30823,31698,28954
GS16,1020,472,37142,37646,39512,40417,37892,36939,40866,40410,42796,41363,40046,43203,41543,36515,35203,35769,35255,30714,0,0,0,0,0,0,40980,43162,42629,48397,45069,46022,35898,37205,33596,31300,26587,22231,37011,37447,45875,37746,37752,37907,33110,30814,32243,31450,32798,31994,15573,19361,21753,17239,20748,21857,16885,18466,14963,17917,17675,17727,18503,19326,20824,18975,19040,19407,18642,19221,21895,19171,19140,19839,17684,18659,18493,17849,17724,18359,22047,21583,23176,23439,21241,21316,24775,25388,28036,23651,24697,24927,22864,30503,30354,31831,32728,29830
GS16,1020,473,38203,38779,40729,41561,38940,38028,41972,41741,44081,42491,41250,44702,42718,37670,36327,36742,36272,31626,0,0,0,0,0,0,42203,44397,43911,49871,46469,47386,36942,38360,34550,32250,27365,22913,38185,38478,47358,38869,38877,39010,34129,31723,33069,32269,33743,32938,15911,19735,22195,17531,21193,22327,17260,19002,15295,18296,18071,18152,18945,19821,21283,19419,19481,19848,19131,19671,22388,19619,19613,20359,18127,19121,18923,18290,18156,18813,22275,21867,23379,23741,21565,21580,24985,25810,28475,24007,25024,25239,23255,30983,30855,32458,33336,30430
GS16,1020,474,38092,38605,40537,41487,38824,37931,42041,41590,43889,42414,41245,44610,42731,37527,36200,36773,36166,31619,0,0,0,0,0,0,42126,44356,43697,49890,46394,47305,36904,38234,34503,32175,27275,22883,38119,38348,47051,38815,38769,38979,34063,31659,33031,32300,33708,32767,15972,19790,22261,17573,21280,22397,17294,18952,15369,18377,18093,18198,19075,19802,21352,19431,19495,19850,19152,19682,22453,19762,19718,20408,18152,19216,19002,18276,18144,18921,22391,21969,23554,23833,21712,21696,25089,25938,28527,24097,25084,25327,23316,31115,30970,32581,33476,30564
GS16,1020,475,38532,39046,40956,41960,39309,38427,42508,42151,44441,43063,41761,45084,43287,38090,36623,37201,36818,32092,0,0,0,0,0,0,42575,44943,44357,50374,46900,47875,37218,38605,34831,32610,27603,23179,38394,38777,47628,39239,39249,39263,34308,31925,33241,32608,33984,33154,16035,19861,22278,17612,21315,22420,17363,19098,15433,18466,18147,18258,19148,19866,21517,19531,19609,19953,19212,19834,22489,19820,19798,20507,18266,19201,19081,18402,18291,18987,22715,22243,23813,24040,21908,21956,25146,25937,28685,24149,25169,25435,23367,31314,31080,32777,33668,30728
GS16,1020,476,37989,38496,40276,41244,38721,37760,41799,41441,43692,42330,41019,44475,42522,37490,36127,36618,36214,31612,0,0,0,0,0,0,42048,44297,43654,49753,46365,47239,36780,38159,34409,32168,27305,22884,37950,38237,47027,38708,38733,38926,33957,31566,33001,32142,33611,32799,15782,19585,21970,17286,21002,22076,17125,18810,15200,18222,17921,18044,18787,19666,21188,19337,19314,19683,19007,19501,22232,19527,19529,20246,18018,19023,18885,18146,18056,18760,22372,22007,23488,23749,21612,21665,25013,25774,28451,23947,24956,25239,23275,31037,31037,32586,33497,30590
GS16,1020,477,37357,37938,39711,40672,38092,37223,41225,40766,43121,41597,40443,43709,41870,36837,35432,36074,35569,31083,0,0,0,0,0,0,41473,43769,43175,49011,45669,46573,36356,37683,33990,31675,26904,22626,37427,37801,46383,38109,38298,38368,33477,31162,32506,31772,33055,32374,15601,19383,21677,17093,20685,21794,16970,18515,14966,17948,17766,17823,18610,19434,20919,19029,19111,19502,18791,19272,21950,19302,19278,20013,17815,18798,18630,17937,17788,18545,22158,21728,23220,23525,21431,21495,24565,25322,28021,23587,24635,24913,22941,30679,30691,32150,33067,30236
GS16,1020,478,36503,36986,38872,39778,37293,36539,40235,39962,42127,40710,39500,42895,41000,36033,34753,35287,34914,30538,0,0,0,0,0,0,40642,42820,42320,47939,44727,45703,35548,36931,33233,31041,26415,22181,36713,37019,45552,37423,37584,37542,32826,30494,31871,31196,32545,31694,15303,18969,21204,16813,20171,21321,16573,18134,14720,17536,17304,17451,18259,19009,20501,18606,18693,19035,18344,18889,21549,18850,18915,19553,17521,18375,18217,17610,17435,18111,21746,21305,22733,23055,20930,20937,24038,24783,27503,23149,24138,24358,22570,30142,30074,31575,32438,29677
GS16,1020,479,35972,36388,38130,39192,36644,35842,39640,39247,41431,39998,38892,42043,40297,35418,34322,34775,34318,29950,0,0,0,0,0,0,39903,42070,41541,47168,44028,44840,34890,36330,32788,30544,25965,21738,36074,36474,44647,36839,36888,36923,32388,30022,31315,30607,31974,31135,14993,18584,20801,16403,19805,20904,16210,17807,14439,17209,16990,17059,17934,18680,20060,18233,18356,18699,18040,18559,21090,18523,18509,19204,17196,18048,17896,17224,17177,17817,21409,20974,22403,22651,20595,20697,23691,24492,27001,22685,23680,23977,22172,29578,29464,31037,31946,29203
GS16,1020,480,34887,35379,37155,38063,35623,34779,38446,38099,40316,38888,37814,40870,39163,34554,33217,33684,33366,29247,0,0,0,0,0,0,38775,40963,40439,45966,42816,43650,33963,35220,31883,29812,25350,21223,35137,35373,43484,35811,35859,35982,31483,29219,30567,29830,31104,30420,14527,17965,20105,15877,19143,20251,15792,17245,13935,16686,16463,16591,17389,18116,19512,17705,17833,18160,17485,17948,20461,18024,17925,18653,16668,17533,17439,16788,16664,17304,20764,20434,21828,22056,20074,20056,23004,23769,26125,22075,23049,23237,21522,28721,28702,30122,31062,28402
GS16,1020,481,34256,34645,36399,37279,35025,34225,37765,37475,39430,38248,36994,40101,38470,33924,32674,33210,32757,28742,0,0,0,0,0,0,38275,40196,39703,45097,42061,43067,33216,34767,31327,29296,24907,21006,34553,34835,42816,35248,35270,35373,30976,28842,30078,29417,30662,29850,14252,17591,19685,15566,18707,19820,15467,16860,13632,16374,16104,16315,17041,17727,19072,17355,17374,17757,17136,17600,20007,17574,17572,18288,16358,17124,17042,16370,16279,16986,20417,20044,21393,21637,19699,19688,22695,23401,25788,21762,22656,22865,21265,28276,28310,29721,30647,27978
GS16,1020,482,33272,33738,35352,36236,34017,33258,36677,36287,38285,37057,35955,38941,37320,32888,31717,32209,31827,27860,0,0,0,0,0,0,37010,39039,38518,43713,40858,41779,32385,33604,30427,28473,24221,20330,33459,33780,41522,34151,34154,34332,30105,27951,29229,28550,29828,29053,13866,17088,19097,15091,18164,19254,15007,16429,13221,15907,15680,15813,16606,17237,18589,16902,16960,17284,16742,17183,19553,17153,17133,17780,15947,16761,16614,15933,15893,16504,19953,19556,20805,21106,19124,19183,22046,22676,25073,21102,21976,22179,20626,27423,27430,28798,29681,27083
