,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
p53 NTAD,1020,529,29725,29895,29490,28976,29181,28279,28218,26386,27621,27886,26509,25166,28566,26091,27007,26300,27942,25745
p53 NTAD,1020,530,28893,29095,28637,28184,28416,27638,27575,25800,26897,27230,25935,24461,27956,25344,26393,25615,27211,25110
p53 NTAD,1020,531,27757,28050,27558,27028,27344,26512,26493,24829,25776,26057,24869,23371,26810,24327,25281,24548,26044,24093
p53 NTAD,1020,532,26832,27099,26665,26117,26348,25567,25623,23953,24970,25145,23892,22571,25897,23581,24410,23769,25083,23097
p53 NTAD,1020,533,25810,26058,25631,25098,25394,24631,24668,23017,24094,24194,22970,21639,24884,22657,23521,22846,24190,22195
p53 NTAD,1020,534,24852,25092,24565,24090,24373,23665,23774,22121,23089,23278,22051,20745,23955,21816,22613,21905,23126,21259
p53 NTAD,1020,535,24115,24377,23883,23455,23715,23025,23118,21489,22421,22632,21376,20121,23349,21168,21955,21233,22390,20605
p53 NTAD,1020,536,23555,23743,23312,22922,23066,22401,22402,20916,21777,21923,20699,19459,22625,20592,21262,20637,21812,20028
p53 NTAD,1020,537,22582,22831,22397,22050,22235,21538,21674,20178,20967,21122,19928,18789,21834,19841,20500,19855,21012,19224
p53 NTAD,1020,538,21892,22157,21766,21426,21490,20895,21053,19585,20324,20542,19384,18225,21225,19244,19877,19251,20316,18615
p53 NTAD,1020,539,21184,21455,21041,20659,20848,20177,20301,18950,19686,19738,18685,17523,20504,18558,19200,18584,19625,17923
p53 NTAD,1020,540,20725,20949,20474,20225,20357,19701,19926,18516,19244,19352,18262,17067,19996,18164,18720,18125,19096,17478
p53 NTAD,1020,541,20114,20300,19900,19605,19747,19172,19280,18003,18664,18770,17714,16595,19461,17611,18180,17591,18498,17020
p53 NTAD,1020,542,19576,19707,19347,18970,19120,18628,18754,17436,18080,18150,17133,16117,18891,17065,17665,16982,17966,16403
p53 NTAD,1020,543,19051,19135,18901,18564,18645,18124,18281,16992,17628,17756,16656,15683,18442,16617,17191,16585,17476,15966
p53 NTAD,1020,544,18325,18560,18210,17832,18059,17525,17600,16355,17020,17005,16126,15120,17766,16010,16537,15966,16917,15462
p53 NTAD,1020,545,17814,18037,17721,17388,17555,17090,17190,15903,16526,16568,15688,14650,17265,15637,16119,15571,16412,15021
p53 NTAD,1020,546,17332,17492,17126,16904,16933,16528,16605,15443,16018,16058,15162,14232,16688,15064,15556,15109,15871,14568
p53 NTAD,1020,547,16718,16894,16492,16220,16432,15896,15935,14822,15418,15462,14569,13759,16096,14502,15048,14544,15286,14054
p53 NTAD,1020,548,16082,16296,15951,15659,15827,15318,15438,14321,14897,14959,14119,13299,15579,14058,14502,14031,14789,13547
p53 NTAD,1020,549,15670,15759,15542,15189,15354,14891,14873,13916,14449,14558,13703,12853,15068,13641,14079,13641,14321,13175
p53 NTAD,1020,550,15153,15338,15032,14773,14866,14477,14484,13499,14027,14132,13388,12564,14606,13237,13710,13250,14033,12850
p53 NTAD,1020,551,14576,14775,14493,14175,14298,13921,13923,12974,13435,13589,12830,12071,14049,12773,13175,12725,13422,12348
p53 NTAD,1020,552,14055,14195,13892,13670,13772,13357,13366,12443,12980,13043,12347,11628,13518,12219,12630,12249,12937,11843
