Q,I(Q),Error
7.86835041E-02,6.18118793E-03,1.68320975E-04
7.89691066E-02,6.62877411E-03,1.72049976E-04
7.92547092E-02,6.38987496E-03,1.70195076E-04
7.95403118E-02,5.86592034E-03,1.68155201E-04
7.98259143E-02,6.24632463E-03,1.69538821E-04
8.01115169E-02,6.05263934E-03,1.66943170E-04
8.03971194E-02,5.79489022E-03,1.68226416E-04
8.06827220E-02,5.92793152E-03,1.67287481E-04
8.09683245E-02,5.86193427E-03,1.67043233E-04
8.12539271E-02,6.06673956E-03,1.67504092E-04
8.15395297E-02,5.97881153E-03,1.65707734E-04
8.18251322E-02,5.73034585E-03,1.66527934E-04
8.21107348E-02,5.83914295E-03,1.66623150E-04
8.23963373E-02,5.40406257E-03,1.64663334E-04
8.26819399E-02,5.59656695E-03,1.66720225E-04
8.29675424E-02,5.83661720E-03,1.64429368E-04
8.32531450E-02,5.58399037E-03,1.65098457E-04
8.35387475E-02,5.50786778E-03,1.63423365E-04
8.38243501E-02,5.70126995E-03,1.65003547E-04
8.41099527E-02,5.64423203E-03,1.64884258E-04
8.43955552E-02,5.30778244E-03,1.62262128E-04
8.46811578E-02,5.40619344E-03,1.63804396E-04
8.49667603E-02,5.43138757E-03,1.62360945E-04
8.52523629E-02,5.61590120E-03,1.64247726E-04
8.55379654E-02,5.27532399E-03,1.61822636E-04
8.58235680E-02,5.40545210E-03,1.61766745E-04
8.61091705E-02,5.39432466E-03,1.63845618E-04
8.63947731E-02,4.97894362E-03,1.60925350E-04
8.66803757E-02,5.18744811E-03,1.61119315E-04
8.69659782E-02,5.12006506E-03,1.60415438E-04
8.72515808E-02,4.85408306E-03,1.60588865E-04
8.75371833E-02,5.26599213E-03,1.62318976E-04
8.78227859E-02,4.83512878E-03,1.58883523E-04
8.81083884E-02,5.16059250E-03,1.60474070E-04
8.83939910E-02,5.09196892E-03,1.59521355E-04
8.86795935E-02,4.83763218E-03,1.60197200E-04
8.89651961E-02,4.81972843E-03,1.59558985E-04
8.92507987E-02,4.80657443E-03,1.57690253E-04
8.95364012E-02,4.58314270E-03,1.59159874E-04
8.98220038E-02,4.44104150E-03,1.57469336E-04
9.01076063E-02,4.94795665E-03,1.59209838E-04
9.03932089E-02,4.61166352E-03,1.57026792E-04
9.06788114E-02,4.51996922E-03,1.56972463E-04
9.09644140E-02,4.71267104E-03,1.58861710E-04
9.12500165E-02,4.54577059E-03,1.57692904E-04
9.15356191E-02,4.29961458E-03,1.55691670E-04
9.18212217E-02,4.35197353E-03,1.55039064E-04
9.21068242E-02,4.34966013E-03,1.57022030E-04
9.23924268E-02,4.52061743E-03,1.57385057E-04
9.26780293E-02,4.52966616E-03,1.56187980E-04
9.29636319E-02,4.42888588E-03,1.55275652E-04
9.32492344E-02,4.13593277E-03,1.54601965E-04
9.35348370E-02,4.42815572E-03,1.56323105E-04
9.38204395E-02,4.10280004E-03,1.54161069E-04
9.41060421E-02,4.28713858E-03,1.54200038E-04
9.43916447E-02,4.24750894E-03,1.54707314E-04
9.46772472E-02,4.11965698E-03,1.54307287E-04
9.49628498E-02,3.94255668E-03,1.54721287E-04
9.52484523E-02,4.39461321E-03,1.53043059E-04
9.55340549E-02,3.86521593E-03,1.53713674E-04
9.58196574E-02,4.32060659E-03,1.53973127E-04
9.61052600E-02,3.81473079E-03,1.53510425E-04
9.63908625E-02,4.04825807E-03,1.52245364E-04
9.66764651E-02,3.96593288E-03,1.52684967E-04
9.69620677E-02,4.16717306E-03,1.52955556E-04
9.72476702E-02,3.84172052E-03,1.52312045E-04
9.75332728E-02,3.46140191E-03,1.50824967E-04
9.78188753E-02,3.75881046E-03,1.52538926E-04
9.81044779E-02,3.60061228E-03,1.51098589E-04
9.83900804E-02,3.89944762E-03,1.53567034E-04
9.86756830E-02,3.79842147E-03,1.50053162E-04
9.89612855E-02,3.57158482E-03,1.50277239E-04
9.92468881E-02,3.85499746E-03,1.51089796E-04
9.95324907E-02,3.50053608E-03,1.50837700E-04
9.98180932E-02,3.63461673E-03,1.51033757E-04
1.00103696E-01,3.68669257E-03,1.49874785E-04
1.00389298E-01,3.50421667E-03,1.49050499E-04
1.00674901E-01,3.58936936E-03,1.50180291E-04
1.00960503E-01,3.43361869E-03,1.49548019E-04
1.01246106E-01,3.51049379E-03,1.49336964E-04
1.01531709E-01,3.31787392E-03,1.48237949E-04
1.01817311E-01,3.35653499E-03,1.49227784E-04
1.02102914E-01,3.04842368E-03,1.48726103E-04
1.02388516E-01,3.26172262E-03,1.47676786E-04
1.02674119E-01,3.30219045E-03,1.48285748E-04
1.02959721E-01,3.37788463E-03,1.48000200E-04
1.03245324E-01,3.51160020E-03,1.48229221E-04
1.03530926E-01,3.29122692E-03,1.48820596E-04
1.03816529E-01,3.29433009E-03,1.46512327E-04
1.04102132E-01,3.02333012E-03,1.47348746E-04
1.04387734E-01,3.14110890E-03,1.46215957E-04
1.04673337E-01,3.25692073E-03,1.47821794E-04
1.04958939E-01,3.23525071E-03,1.46207029E-04
1.05244542E-01,3.19049507E-03,1.46826230E-04
1.05530144E-01,2.89064646E-03,1.47099994E-04
1.05815747E-01,3.07747722E-03,1.45540606E-04
1.06101349E-01,2.71927565E-03,1.45117053E-04
1.06386952E-01,2.83126161E-03,1.44689783E-04
1.06672555E-01,3.29306722E-03,1.47032420E-04
1.06958157E-01,2.88444012E-03,1.46359175E-04
1.07243760E-01,3.12264636E-03,1.44452691E-04
1.07529362E-01,2.82488391E-03,1.45159514E-04
1.07814965E-01,2.64645740E-03,1.44268571E-04
1.08100567E-01,2.70403177E-03,1.44291192E-04
1.08386170E-01,2.72328034E-03,1.44591748E-04
1.08671772E-01,2.84221768E-03,1.44546247E-04
1.08957375E-01,2.81560048E-03,1.44038424E-04
1.09242978E-01,2.76332721E-03,1.44204902E-04
1.09528580E-01,2.82853469E-03,1.48398333E-04
1.09814183E-01,2.56681815E-03,1.47475748E-04
1.10099785E-01,2.62846798E-03,1.50258050E-04
1.10385388E-01,2.78469548E-03,1.51714459E-04
1.10670990E-01,2.74557248E-03,1.52909108E-04
1.10956593E-01,2.67035514E-03,1.53180434E-04
1.11242195E-01,2.70452350E-03,1.53852159E-04
1.11527798E-01,2.60607526E-03,1.55509301E-04
1.11813401E-01,2.66515836E-03,1.57016139E-04
1.12099003E-01,2.50760466E-03,1.57130052E-04
1.12384606E-01,2.42914259E-03,1.57736293E-04
1.12670208E-01,2.56634876E-03,1.58313448E-04
1.12955811E-01,2.75273249E-03,1.60722345E-04
1.13241413E-01,2.61257216E-03,1.59249617E-04
1.13527016E-01,2.30346993E-03,1.55671754E-04
1.13812618E-01,2.37700343E-03,1.55692790E-04
1.14098221E-01,2.50775367E-03,1.53427086E-04
1.14383824E-01,2.44349986E-03,1.54099224E-04
1.14669426E-01,2.46172398E-03,1.51036990E-04
1.14955029E-01,2.38542631E-03,1.51476958E-04
1.15240631E-01,2.44307518E-03,1.50534175E-04
1.15526234E-01,2.17820331E-03,1.50280445E-04
1.15811836E-01,2.40409374E-03,1.50210504E-04
1.16097439E-01,2.20767781E-03,1.46994071E-04
1.16383041E-01,1.97627768E-03,1.48845310E-04
1.16668644E-01,2.26041675E-03,1.47636791E-04
1.16954247E-01,2.16780975E-03,1.47252193E-04
1.17239849E-01,2.27759033E-03,1.48287514E-04
1.17525452E-01,2.13196501E-03,1.45534177E-04
1.17811054E-01,2.32054293E-03,1.47887778E-04
1.18096657E-01,2.18357518E-03,1.45231361E-04
1.18382259E-01,2.15731934E-03,1.45588663E-04
1.18667862E-01,2.01534852E-03,1.45111669E-04
1.18953464E-01,2.14690715E-03,1.45182553E-04
1.19239067E-01,2.32864916E-03,1.45966116E-04
1.19524670E-01,2.24972516E-03,1.43815200E-04
