,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS48,1020,539,14352,30816,27509,27844,27585,27519,25733,25792,24843,26916,25652,25631,24924,25740,26456,25193,25653,25212
GS48,1020,540,13951,29854,26767,27105,26800,26737,25076,25141,24148,26224,24929,24998,24228,25067,25770,24512,24954,24500
GS48,1020,541,13574,29098,25983,26391,26108,25939,24395,24546,23525,25502,24185,24256,23654,24336,25065,23848,24222,23706
GS48,1020,542,13171,28123,25265,25529,25253,25091,23669,23778,22776,24744,23470,23429,22824,23568,24287,23078,23403,22983
GS48,1020,543,13001,27761,24890,25145,24906,24799,23270,23336,22459,24386,23090,23102,22537,23247,23922,22760,23069,22685
GS48,1020,544,12550,26871,24139,24383,24082,24026,22518,22711,21751,23604,22430,22415,21784,22548,23170,22059,22388,21925
GS48,1020,545,12205,26091,23414,23523,23420,23225,21806,21973,20967,22830,21756,21688,21168,21842,22328,21379,21675,21197
GS48,1020,546,11833,25316,22630,22760,22638,22478,21135,21248,20373,22103,21089,21018,20448,21106,21754,20694,21098,20573
GS48,1020,547,11396,24374,21859,21983,21890,21727,20378,20443,19660,21350,20302,20299,19711,20332,20933,19937,20327,19861
GS48,1020,548,11048,23478,21068,21284,21152,20979,19691,19814,18994,20638,19590,19633,19062,19685,20132,19282,19672,19269
GS48,1020,549,10730,22855,20428,20725,20535,20369,19093,19201,18408,19996,19005,19015,18441,19019,19601,18713,19047,18732
GS48,1020,550,10262,21879,19588,19785,19628,19483,18208,18325,17577,19083,18214,18221,17668,18178,18709,17902,18231,17822
GS48,1020,551,9900,21092,18857,19047,18889,18670,17485,17676,16948,18419,17606,17613,16934,17513,18034,17267,17576,17203
GS48,1020,552,9635,20415,18315,18532,18376,18274,17025,17087,16485,17891,17043,17106,16477,16997,17537,16735,17117,16733
GS48,1020,553,9291,19724,17733,17866,17774,17632,16418,16535,15876,17270,16464,16522,15913,16429,16953,16121,16589,16266
GS48,1020,554,9152,19482,17441,17561,17424,17350,16127,16266,15588,16930,16216,16239,15598,16126,16662,15879,16238,15945
GS48,1020,555,8837,18724,16726,16910,16800,16650,15509,15573,14971,16323,15613,15619,14993,15546,15990,15326,15669,15362
GS48,1020,556,8613,18189,16253,16468,16259,16183,15039,15119,14582,15879,15142,15221,14587,15093,15585,14870,15202,14894
GS48,1020,557,8253,17409,15574,15778,15611,15513,14472,14524,13991,15286,14539,14612,14027,14461,14901,14296,14638,14357
GS48,1020,558,7986,16886,15091,15253,15105,15051,14035,14054,13528,14799,14131,14162,13589,13972,14472,13778,14177,13941
GS48,1020,559,7801,16372,14665,14781,14755,14581,13621,13668,13115,14310,13716,13758,13103,13576,14062,13455,13749,13524
GS48,1020,560,7430,15707,14065,14151,13997,14002,13012,13049,12585,13721,13067,13178,12576,13039,13429,12803,13177,12927
GS48,1020,561,7134,15049,13505,13603,13474,13419,12498,12582,12096,13194,12611,12639,12090,12515,12893,12371,12672,12447
GS48,1020,562,6872,14563,13036,13197,13070,13040,12098,12107,11698,12715,12168,12215,11677,12168,12493,11934,12213,11989
GS48,1020,563,6554,13868,12399,12542,12455,12383,11492,11509,11172,12148,11613,11632,11196,11471,11837,11375,11665,11477
GS48,1020,564,6342,13405,11994,12155,12108,12023,11163,11249,10800,11767,11300,11288,10806,11161,11583,11049,11311,11167
